,City,Population,ViolentCrime,Murder,Rape,Robbery,AggAssault,PropertyCrime,Burglary,Theft,VehicleTheft,Arson
374,Santa Monica,91621.0,664.0,3.0,40.0,247.0,374.0,3964.0,577.0,3143.0,244.0,19.0
375,Santa Paula,30098.0,91.0,2.0,6.0,21.0,62.0,404.0,103.0,272.0,29.0,3.0
376,Santa Rosa,177884.0,857.0,3.0,146.0,126.0,582.0,2874.0,486.0,2077.0,311.0,28.0
377,Santee,58701.0,98.0,0.0,8.0,29.0,61.0,806.0,74.0,659.0,73.0,7.0
378,Saratoga,30666.0,16.0,0.0,4.0,2.0,10.0,240.0,104.0,122.0,14.0,5.0
379,Sausalito,7118.0,7.0,0.0,0.0,1.0,6.0,258.0,21.0,224.0,13.0,0.0
380,Scotts Valley,11875.0,13.0,0.0,2.0,1.0,10.0,141.0,31.0,102.0,8.0,2.0
381,Seal Beach,24120.0,19.0,0.0,1.0,10.0,8.0,551.0,62.0,458.0,31.0,0.0
382,Seaside,34036.0,78.0,3.0,11.0,12.0,52.0,439.0,44.0,329.0,66.0,5.0
383,Sebastopol,7815.0,21.0,0.0,3.0,7.0,11.0,177.0,51.0,110.0,16.0,2.0
384,Selma,24983.0,85.0,3.0,6.0,25.0,51.0,605.0,204.0,280.0,121.0,0.0
385,Shafter,20456.0,53.0,0.0,3.0,9.0,41.0,513.0,127.0,298.0,88.0,8.0
386,Sierra Madre,10917.0,15.0,0.0,1.0,0.0,14.0,79.0,29.0,46.0,4.0,0.0
387,Signal Hill,11624.0,95.0,0.0,1.0,27.0,67.0,678.0,110.0,491.0,77.0,3.0
388,Simi Valley,126025.0,146.0,1.0,15.0,35.0,95.0,1188.0,208.0,889.0,91.0,7.0
389,Solana Beach,13440.0,13.0,0.0,3.0,4.0,6.0,173.0,39.0,115.0,19.0,0.0
390,Soledad,26015.0,53.0,0.0,4.0,14.0,35.0,136.0,24.0,83.0,29.0,5.0
391,Solvang,5962.0,10.0,0.0,0.0,2.0,8.0,68.0,18.0,46.0,4.0,0.0
392,Sonoma,11323.0,38.0,0.0,6.0,1.0,31.0,122.0,21.0,95.0,6.0,1.0
393,Sonora,4867.0,26.0,0.0,6.0,6.0,14.0,269.0,69.0,180.0,20.0,4.0
394,South El Monte,20852.0,102.0,1.0,11.0,32.0,58.0,500.0,132.0,254.0,114.0,3.0
