,city,population,violentcrime,murder,rape,robbery,aggassault,propertycrime,burglary,theft,vehicletheft,arson,firecount,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,yearly median
205,Ventura,111596,458,3,56,106,293,2969,353,2362,254,7,51,588909.0,589623.0,590256.0,590424.0,590184.0,588120.0,584427.0,582878.0,583505.0,586435.0,586612.0,588584.0,588352.0
206,Lancaster,159335,1359,7,114,374,864,3346,792,1916,638,49,46,267894.0,267727.0,268008.0,268709.0,269938.0,270998.0,270826.0,271170.0,271981.0,273824.0,274924.0,276477.0,270912.0
207,Calimesa,9073,22,0,0,7,15,280,51,193,36,0,10,361041.0,362290.0,363865.0,364425.0,363553.0,363154.0,364411.0,364822.0,364276.0,364618.0,365030.0,368246.0,364343.5
208,Watsonville,54261,328,1,37,53,237,971,148,589,234,8,4,599034.0,603472.0,604195.0,607712.0,605028.0,605095.0,603954.0,601449.0,600769.0,601812.0,602279.0,602912.0,603192.0
209,Riverside,333260,1686,17,139,476,1054,9790,1302,6997,1491,75,25,400432.0,401994.0,404096.0,404978.0,404675.0,404523.0,404923.0,405807.0,405938.0,407940.0,408807.0,411678.0,404950.5
210,Coachella,46485,126,0,9,43,74,894,135,580,179,5,2,255701.0,257392.0,259386.0,260436.0,261330.0,262460.0,263697.0,264185.0,263538.0,263320.0,262937.0,264703.0,262698.5
211,Sacramento,513934,3223,34,127,1039,2023,16354,2993,10644,2717,179,67,315201.0,315956.0,316463.0,318634.0,320733.0,322422.0,322326.0,321175.0,320963.0,321269.0,324097.0,326846.0,321069.0
212,Rosemead,54489,175,1,11,74,89,942,196,552,194,8,2,607603.0,605365.0,602488.0,601516.0,601378.0,602906.0,598589.0,598025.0,599310.0,605170.0,607984.0,610454.0,602697.0
213,South Lake Tahoe,22116,111,2,10,20,79,449,79,335,35,0,2,408985.0,412769.0,412856.0,410028.5,412246.5,414438.5,416377.5,413070.5,407262.0,404136.0,401586.0,398757.0,411137.5
214,Santa Ana,333664,1453,13,207,472,761,6808,854,4611,1343,49,1,528666.0,528651.0,530296.0,532374.0,534766.0,535232.0,536125.0,538053.0,543074.0,546699.0,547406.0,546159.0,535678.5
